PropertyID,PropType,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
868088,Commercial,9400-9408 N 107TH ST,Unknown,9.0,6202.0,Office Building - 1 Story,Concrete Block,1.0,1973.0,Unknown,"12,960",6,Unknown,0,0,"178,160",3/31/21,"$450,000 "
875720,Residential,9231 W COUNTY LINE RD,Unknown,9.0,40.0,Ranch,Aluminum/Vinyl,1.0,1952.0,4.0,840,1,2.0,1,0,"19,405",9/30/21,"$180,000 "
878211,Residential,9481 N MICHAEL CT,Unknown,9.0,40.0,Colonial,Fiber Cement/Hardiplank,2.0,2006.0,8.0,"2,000",1,3.0,2,1,"10,607",10/15/21,"$339,900 "
875302,Residential,9579 N MICHAEL CT,Unknown,9.0,40.0,Ranch,Fiber Cement/Hardiplank,1.0,2006.0,8.0,"2,115",1,3.0,2,1,"10,607",8/17/21,"$379,900 "
865369,Residential,9239 N BURBANK AV,Unknown,9.0,40.0,Ranch,Aluminum/Vinyl,1.0,1987.0,5.0,"1,288",1,3.0,2,0,"7,670",2/4/21,"$195,000 "
870943,Residential,9328 N JOYCE AV,Unknown,9.0,40.0,Ranch,Aluminum/Vinyl,1.0,1980.0,6.0,"1,505",1,3.0,2,0,"8,878",5/26/21,"$213,000 "
872068,Residential,9267 N BURBANK AV,Unknown,9.0,40.0,Ranch,Aluminum/Vinyl,1.0,1986.0,5.0,"1,196",1,3.0,1,1,"10,090",6/25/21,"$170,000 "
870347,Residential,8112 W GLENBROOK RD,Unknown,9.0,40.0,Ranch,Prem Wood,1.0,1990.0,5.0,"1,246",1,3.0,1,1,"7,200",5/13/21,"$235,000 "
874897,Residential,7926 W GLENBROOK RD,Unknown,9.0,40.0,Colonial,Aluminum/Vinyl,2.0,2006.0,8.0,"2,279",1,4.0,2,1,"15,938",7/26/21,"$370,000 "
868845,Residential,8740 W FAIRY CHASM DR,Unknown,9.0,40.0,Ranch,Aluminum/Vinyl,1.0,1951.0,5.0,"1,160",1,3.0,2,0,"8,400",4/23/21,"$133,000 "
873059,Residential,8750 W FAIRY CHASM DR,Unknown,9.0,40.0,Ranch,Aluminum/Vinyl,1.0,1956.0,5.0,"1,215",1,4.0,2,1,"9,125",6/30/21,"$134,000 "
879566,Condominium,"9226 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9.0,5010.0,Condo Ranch,Unknown,1.0,1973.0,4.0,898,1,2.0,1,1,0,11/16/21,"$88,500 "
