PropertyID,PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
98461,Manufacturing,30131000,9434-9446 N 107TH ST,,9,6300,Service Building,Concrete Block,1,1978,NULL,20600,6,NULL,0,0,0,4/1/22,950000
98464,Commercial,30152000,9306-9316 N 107TH ST,,9,6202,Office Building - 1 Story,Brick,1,1982,NULL,9688,23,NULL,0,0,35719,10/7/22,385000
98508,Residential,49980110,9327 N SWAN RD,,9,40,,,,NULL,NULL,NULL,0,NULL,0,0,1341648,1/7/22,800000
98519,Residential,49993200,9411 W COUNTY LINE RD,,9,40,Ranch,Aluminum/Vinyl,1,1959,6,1334,1,3,1,1,83200,8/9/22,280000
98561,Residential,50042000,9322 N JOYCE AV,,9,40,Ranch,Aluminum/Vinyl,1,1980,10,1006,1,6,1,0,8303,5/23/22,233100
98593,Residential,50074000,9360 N 85TH ST,,9,40,Ranch,Aluminum/Vinyl,1,1982,5,1007,1,3,1,0,7200,7/25/22,215000
98604,Residential,50085000,9305 N BURBANK AV,,9,40,Ranch,Aluminum/Vinyl,1,1984,5,1301,1,3,2,0,7200,3/29/22,150000
98608,Residential,50089000,9217 N 83RD ST,,9,40,Colonial,Aluminum/Vinyl,2,2007,9,2237,1,4,2,1,15677,5/10/22,400000
98696,Condominium,70017000,"9192 N 70TH ST, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,1,3,2,1,0,5/16/22,122000
98715,Condominium,70036000,"9212 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,1,4,2,1,0,4/14/22,123000
98717,Condominium,70038000,"9242 N 70TH ST, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,1,4,2,1,0,3/11/22,106000
98719,Condominium,70040000,"9238 N 70TH ST, Unit 4",NORTHRIDGE WOOD LAKE,9,5010,Condo Ranch,,1,1973,4,898,1,2,1,1,0,7/7/22,95000
98723,Condominium,70044000,"9230 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,1,1973,10,1437,1,6,2,1,0,2/4/22,122000
98726,Condominium,70047000,"9258 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,10,1253,1,6,1,1,0,1/19/22,108000
98737,Condominium,70058000,"9280 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,1,3,2,1,0,11/4/22,145000
98772,Condominium,70093000,"6951 W GLENBROOK RD, Unit 3",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,6,1244,1,3,2,1,0,12/6/22,58000
98784,Condominium,70105000,"6923 W GLENBROOK RD, Unit 3",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1244,1,3,2,1,0,10/28/22,99000
98789,Condominium,70110000,"6933 W GLENBROOK RD, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1253,1,3,1,1,0,12/6/22,110000
98796,Condominium,70117000,"6913 W GLENBROOK RD, Unit 4",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,1,3,2,1,0,12/9/22,124000
98852,Condominium,310237000,8991 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,6,1401,1,3,2,1,1,4/13/22,153000
98868,Condominium,310253000,9025 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,1295,1,2,1,1,1,10/14/22,80000
98868,Condominium,310253000,9025 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,4,1295,1,2,1,1,1,12/29/22,140000
98875,Condominium,310260000,9039 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,6,1401,1,3,2,1,1,11/16/22,137000
98907,Condominium,310292000,9115 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,5,1498,1,3,1,1,1,7/30/22,150000
98922,Condominium,310307000,9145 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,6,1401,1,3,3,1,1,7/19/22,160000
98929,Condominium,310314000,9159 N 70TH ST,NORTHRIDGE EASTBAY,9,5020,Condo Townhouse,,2,1973,7,1626,1,4,2,1,1,11/28/22,145000
